fecha,hora,consumo_kwh
2027-02-02,11,73.17
2027-02-02,12,75.34
2027-02-02,13,73.38
2027-02-02,14,68.58
2027-02-02,15,63.83
2027-02-02,16,61.93
2027-02-02,17,63.69
2027-02-02,18,67.06
2027-02-02,19,68.46
2027-02-02,20,65.86
2027-02-02,21,60.4
2027-02-02,22,54.9
2027-02-02,23,51.21
2027-02-02,24,49.43
2027-02-03,1,48.55
2027-02-03,2,48.55
2027-02-03,3,48.58
2027-02-03,4,48.67
2027-02-03,5,49.0
2027-02-03,6,49.88
2027-02-03,7,51.87
2027-02-03,8,55.58
2027-02-03,9,61.16
2027-02-03,10,67.68
2027-02-03,11,73.12
2027-02-03,12,75.29
2027-02-03,13,73.33
2027-02-03,14,68.53
2027-02-03,15,63.79
2027-02-03,16,61.89
2027-02-03,17,63.65
2027-02-03,18,67.01
2027-02-03,19,68.41
2027-02-03,20,65.81
2027-02-03,21,60.35
2027-02-03,22,54.86
2027-02-03,23,51.17
2027-02-03,24,49.4
2027-02-04,1,48.51
2027-02-04,2,48.51
2027-02-04,3,48.54
2027-02-04,4,48.64
2027-02-04,5,48.96
2027-02-04,6,49.84
2027-02-04,7,51.83
2027-02-04,8,55.54
2027-02-04,9,61.11
2027-02-04,10,67.63
2027-02-04,11,73.06
2027-02-04,12,75.23
2027-02-04,13,73.27
2027-02-04,14,68.48
2027-02-04,15,63.74
2027-02-04,16,61.84
2027-02-04,17,63.6
2027-02-04,18,66.96
2027-02-04,19,68.36
2027-02-04,20,65.76
2027-02-04,21,60.31
2027-02-04,22,54.81
2027-02-04,23,51.14
2027-02-04,24,49.36
2027-02-05,1,48.47
2027-02-05,2,48.47
2027-02-05,3,48.5
2027-02-05,4,48.6
2027-02-05,5,48.92
2027-02-05,6,49.8
2027-02-05,7,51.79
2027-02-05,8,55.5
2027-02-05,9,61.06
2027-02-05,10,67.57
2027-02-05,11,73.0
2027-02-05,12,75.17
2027-02-05,13,73.21
2027-02-05,14,68.42
2027-02-05,15,63.68
2027-02-05,16,61.79
2027-02-05,17,63.55
2027-02-05,18,66.9
2027-02-05,19,68.3
2027-02-05,20,65.71
2027-02-05,21,60.26
2027-02-05,22,54.77
2027-02-05,23,51.09
2027-02-05,24,49.32
2027-02-06,1,26.63
2027-02-06,2,26.64
2027-02-06,3,26.65
2027-02-06,4,26.7
2027-02-06,5,26.88
2027-02-06,6,27.36
2027-02-06,7,28.46
2027-02-06,8,30.5
2027-02-06,9,33.55
2027-02-06,10,37.13
2027-02-06,11,40.12
2027-02-06,12,41.31
2027-02-06,13,40.23
2027-02-06,14,37.6
2027-02-06,15,35.0
2027-02-06,16,33.95
2027-02-06,17,34.92
2027-02-06,18,36.77
2027-02-06,19,37.53
2027-02-06,20,36.11
2027-02-06,21,33.11
2027-02-06,22,30.1
2027-02-06,23,28.08
2027-02-06,24,27.1
2027-02-07,1,26.61
2027-02-07,2,26.61
2027-02-07,3,26.63
2027-02-07,4,26.68
2027-02-07,5,26.86
2027-02-07,6,27.34
2027-02-07,7,28.43
2027-02-07,8,30.47
2027-02-07,9,33.52
2027-02-07,10,37.1
2027-02-07,11,40.08
2027-02-07,12,41.27
2027-02-07,13,40.19
2027-02-07,14,37.56
2027-02-07,15,34.96
2027-02-07,16,33.92
2027-02-07,17,34.89
2027-02-07,18,36.73
2027-02-07,19,37.5
2027-02-07,20,36.07
2027-02-07,21,33.08
2027-02-07,22,30.07
2027-02-07,23,28.05
2027-02-07,24,27.08
2027-02-08,1,48.33
2027-02-08,2,48.34
2027-02-08,3,48.36
2027-02-08,4,48.46
2027-02-08,5,48.78
2027-02-08,6,49.66
2027-02-08,7,51.64
2027-02-08,8,55.34
2027-02-08,9,60.89
2027-02-08,10,67.38
2027-02-08,11,72.8
2027-02-08,12,74.96
2027-02-08,13,73.01
2027-02-08,14,68.23
2027-02-08,15,63.51
2027-02-08,16,61.62
2027-02-08,17,63.37
2027-02-08,18,66.72
2027-02-08,19,68.11
2027-02-08,20,65.52
2027-02-08,21,60.09
2027-02-08,22,54.62
2027-02-08,23,50.95
2027-02-08,24,49.18
2027-02-09,1,48.28
2027-02-09,2,48.29
2027-02-09,3,48.31
2027-02-09,4,48.41
2027-02-09,5,48.73
2027-02-09,6,49.61
2027-02-09,7,51.59
2027-02-09,8,55.28
2027-02-09,9,60.83
2027-02-09,10,67.31
2027-02-09,11,72.72
2027-02-09,12,74.88
2027-02-09,13,72.93
2027-02-09,14,68.16
2027-02-09,15,63.44
2027-02-09,16,61.55
2027-02-09,17,63.3
2027-02-09,18,66.65
2027-02-09,19,68.04
2027-02-09,20,65.46
2027-02-09,21,60.03
2027-02-09,22,54.56
2027-02-09,23,50.9
2027-02-09,24,49.13
2027-02-10,1,48.23
2027-02-10,2,48.24
2027-02-10,3,48.26
2027-02-10,4,48.36
2027-02-10,5,48.68
2027-02-10,6,49.55
2027-02-10,7,51.53
2027-02-10,8,55.22
2027-02-10,9,60.76
2027-02-10,10,67.24
2027-02-10,11,72.64
2027-02-10,12,74.8
2027-02-10,13,72.85
2027-02-10,14,68.09
2027-02-10,15,63.37
2027-02-10,16,61.49
2027-02-10,17,63.24
2027-02-10,18,66.58
2027-02-10,19,67.97
2027-02-10,20,65.38
2027-02-10,21,59.96
2027-02-10,22,54.5
2027-02-10,23,50.84
2027-02-10,24,49.08
2027-02-11,1,48.18
2027-02-11,2,48.18
2027-02-11,3,48.21
2027-02-11,4,48.3
2027-02-11,5,48.62
2027-02-11,6,49.5
2027-02-11,7,51.48
2027-02-11,8,55.16
2027-02-11,9,60.69
2027-02-11,10,67.16
2027-02-11,11,72.56
2027-02-11,12,74.72
2027-02-11,13,72.77
2027-02-11,14,68.01
2027-02-11,15,63.3
2027-02-11,16,61.42
2027-02-11,17,63.16
2027-02-11,18,66.5
2027-02-11,19,67.89
2027-02-11,20,65.31
2027-02-11,21,59.9
2027-02-11,22,54.44
2027-02-11,23,50.79
2027-02-11,24,49.02
2027-02-12,1,48.12
2027-02-12,2,48.13
2027-02-12,3,48.15
2027-02-12,4,48.25
2027-02-12,5,48.57
2027-02-12,6,49.44
2027-02-12,7,51.41
2027-02-12,8,55.1
2027-02-12,9,60.62
2027-02-12,10,67.08
2027-02-12,11,72.48
2027-02-12,12,74.63
2027-02-12,13,72.68
2027-02-12,14,67.93
2027-02-12,15,63.23
2027-02-12,16,61.34
2027-02-12,17,63.09
2027-02-12,18,66.42
2027-02-12,19,67.81
2027-02-12,20,65.23
2027-02-12,21,59.82
2027-02-12,22,54.37
2027-02-12,23,50.73
2027-02-12,24,48.97
2027-02-13,1,26.43
2027-02-13,2,26.44
2027-02-13,3,26.45
2027-02-13,4,26.5
2027-02-13,5,26.68
2027-02-13,6,27.16
2027-02-13,7,28.24
2027-02-13,8,30.26
2027-02-13,9,33.3
2027-02-13,10,36.85
2027-02-13,11,39.81
2027-02-13,12,40.99
2027-02-13,13,39.93
2027-02-13,14,37.31
2027-02-13,15,34.73
2027-02-13,16,33.7
2027-02-13,17,34.66
2027-02-13,18,36.49
2027-02-13,19,37.25
2027-02-13,20,35.83
2027-02-13,21,32.86
2027-02-13,22,29.87
2027-02-13,23,27.86
2027-02-13,24,26.9
2027-02-14,1,26.4
2027-02-14,2,26.4
2027-02-14,3,26.42
2027-02-14,4,26.47
2027-02-14,5,26.64
2027-02-14,6,27.12
2027-02-14,7,28.21
2027-02-14,8,30.23
2027-02-14,9,33.26
2027-02-14,10,36.8
2027-02-14,11,39.76
2027-02-14,12,40.94
2027-02-14,13,39.87
2027-02-14,14,37.27
2027-02-14,15,34.69
2027-02-14,16,33.65
2027-02-14,17,34.61
2027-02-14,18,36.44
