fecha,hora,generacion_kwh
2027-01-05,12,22.84
2027-01-05,13,37.91
2027-01-05,14,48.19
2027-01-05,15,46.92
2027-01-05,16,34.99
2027-01-05,17,19.99
2027-01-05,18,8.74
2027-01-05,19,2.93
2027-01-05,20,0.75
2027-01-05,21,0.15
2027-01-05,22,0.02
2027-01-05,23,0.0
2027-01-05,24,0.0
2027-01-06,1,0.0
2027-01-06,2,0.0
2027-01-06,3,0.0
2027-01-06,4,0.0
2027-01-06,5,0.0
2027-01-06,6,0.0
2027-01-06,7,0.02
2027-01-06,8,0.12
2027-01-06,9,0.6
2027-01-06,10,2.21
2027-01-06,11,6.26
2027-01-06,12,13.56
2027-01-06,13,22.5
2027-01-06,14,28.61
2027-01-06,15,27.85
2027-01-06,16,20.77
2027-01-06,17,11.87
2027-01-06,18,5.19
2027-01-06,19,1.74
2027-01-06,20,0.45
2027-01-06,21,0.09
2027-01-06,22,0.01
2027-01-06,23,0.0
2027-01-06,24,0.0
2027-01-07,1,0.0
2027-01-07,2,0.0
2027-01-07,3,0.0
2027-01-07,4,0.0
2027-01-07,5,0.0
2027-01-07,6,0.0
2027-01-07,7,0.04
2027-01-07,8,0.24
2027-01-07,9,1.14
2027-01-07,10,4.21
2027-01-07,11,11.9
2027-01-07,12,25.79
2027-01-07,13,42.8
2027-01-07,14,54.41
2027-01-07,15,52.98
2027-01-07,16,39.51
2027-01-07,17,22.57
2027-01-07,18,9.87
2027-01-07,19,3.31
2027-01-07,20,0.85
2027-01-07,21,0.17
2027-01-07,22,0.03
2027-01-07,23,0.0
2027-01-07,24,0.0
2027-01-08,1,0.0
2027-01-08,2,0.0
2027-01-08,3,0.0
2027-01-08,4,0.0
2027-01-08,5,0.0
2027-01-08,6,0.0
2027-01-08,7,0.02
2027-01-08,8,0.12
2027-01-08,9,0.6
2027-01-08,10,2.2
2027-01-08,11,6.23
2027-01-08,12,13.49
2027-01-08,13,22.39
2027-01-08,14,28.47
2027-01-08,15,27.72
2027-01-08,16,20.67
2027-01-08,17,11.81
2027-01-08,18,5.17
2027-01-08,19,1.73
2027-01-08,20,0.44
2027-01-08,21,0.09
2027-01-08,22,0.01
2027-01-08,23,0.0
2027-01-08,24,0.0
2027-01-09,1,0.0
2027-01-09,2,0.0
2027-01-09,3,0.0
2027-01-09,4,0.0
2027-01-09,5,0.0
2027-01-09,6,0.0
2027-01-09,7,0.04
2027-01-09,8,0.22
2027-01-09,9,1.06
2027-01-09,10,3.93
2027-01-09,11,11.11
2027-01-09,12,24.07
2027-01-09,13,39.96
2027-01-09,14,50.8
2027-01-09,15,49.46
2027-01-09,16,36.89
2027-01-09,17,21.07
2027-01-09,18,9.22
2027-01-09,19,3.09
2027-01-09,20,0.79
2027-01-09,21,0.16
2027-01-09,22,0.02
2027-01-09,23,0.0
2027-01-09,24,0.0
2027-01-10,1,0.0
2027-01-10,2,0.0
2027-01-10,3,0.0
2027-01-10,4,0.0
2027-01-10,5,0.0
2027-01-10,6,0.0
2027-01-10,7,0.03
2027-01-10,8,0.16
2027-01-10,9,0.79
2027-01-10,10,2.92
2027-01-10,11,8.26
2027-01-10,12,17.9
2027-01-10,13,29.72
2027-01-10,14,37.78
2027-01-10,15,36.78
2027-01-10,16,27.43
2027-01-10,17,15.67
2027-01-10,18,6.86
2027-01-10,19,2.3
2027-01-10,20,0.59
2027-01-10,21,0.12
2027-01-10,22,0.02
2027-01-10,23,0.0
2027-01-10,24,0.0
2027-01-11,1,0.0
2027-01-11,2,0.0
2027-01-11,3,0.0
2027-01-11,4,0.0
2027-01-11,5,0.0
2027-01-11,6,0.0
2027-01-11,7,0.03
2027-01-11,8,0.17
2027-01-11,9,0.84
2027-01-11,10,3.11
2027-01-11,11,8.79
2027-01-11,12,19.05
2027-01-11,13,31.62
2027-01-11,14,40.19
2027-01-11,15,39.14
2027-01-11,16,29.19
2027-01-11,17,16.67
2027-01-11,18,7.29
2027-01-11,19,2.44
2027-01-11,20,0.63
2027-01-11,21,0.12
2027-01-11,22,0.02
2027-01-11,23,0.0
2027-01-11,24,0.0
2027-01-12,1,0.0
2027-01-12,2,0.0
2027-01-12,3,0.0
2027-01-12,4,0.0
2027-01-12,5,0.0
2027-01-12,6,0.0
2027-01-12,7,0.03
2027-01-12,8,0.22
2027-01-12,9,1.06
2027-01-12,10,3.9
2027-01-12,11,11.04
2027-01-12,12,23.93
2027-01-12,13,39.72
2027-01-12,14,50.49
2027-01-12,15,49.16
2027-01-12,16,36.66
2027-01-12,17,20.94
2027-01-12,18,9.16
2027-01-12,19,3.07
2027-01-12,20,0.79
2027-01-12,21,0.15
2027-01-12,22,0.02
2027-01-12,23,0.0
2027-01-12,24,0.0
2027-01-13,1,0.0
2027-01-13,2,0.0
2027-01-13,3,0.0
2027-01-13,4,0.0
2027-01-13,5,0.0
2027-01-13,6,0.0
2027-01-13,7,0.02
2027-01-13,8,0.13
2027-01-13,9,0.64
2027-01-13,10,2.38
2027-01-13,11,6.73
2027-01-13,12,14.57
2027-01-13,13,24.19
2027-01-13,14,30.75
2027-01-13,15,29.94
2027-01-13,16,22.33
2027-01-13,17,12.75
2027-01-13,18,5.58
2027-01-13,19,1.87
2027-01-13,20,0.48
2027-01-13,21,0.09
2027-01-13,22,0.01
2027-01-13,23,0.0
2027-01-13,24,0.0
2027-01-14,1,0.0
2027-01-14,2,0.0
2027-01-14,3,0.0
2027-01-14,4,0.0
2027-01-14,5,0.0
2027-01-14,6,0.0
2027-01-14,7,0.04
2027-01-14,8,0.25
2027-01-14,9,1.21
2027-01-14,10,4.47
2027-01-14,11,12.66
2027-01-14,12,27.43
2027-01-14,13,45.53
2027-01-14,14,57.87
2027-01-14,15,56.35
2027-01-14,16,42.03
2027-01-14,17,24.01
2027-01-14,18,10.5
2027-01-14,19,3.52
2027-01-14,20,0.9
2027-01-14,21,0.18
2027-01-14,22,0.03
2027-01-14,23,0.0
2027-01-14,24,0.0
2027-01-15,1,0.0
2027-01-15,2,0.0
2027-01-15,3,0.0
2027-01-15,4,0.0
2027-01-15,5,0.0
2027-01-15,6,0.0
2027-01-15,7,0.02
2027-01-15,8,0.13
2027-01-15,9,0.63
2027-01-15,10,2.33
2027-01-15,11,6.59
2027-01-15,12,14.27
2027-01-15,13,23.69
2027-01-15,14,30.11
2027-01-15,15,29.32
2027-01-15,16,21.86
2027-01-15,17,12.49
2027-01-15,18,5.46
2027-01-15,19,1.83
2027-01-15,20,0.47
2027-01-15,21,0.09
2027-01-15,22,0.01
2027-01-15,23,0.0
2027-01-15,24,0.0
2027-01-16,1,0.0
2027-01-16,2,0.0
2027-01-16,3,0.0
2027-01-16,4,0.0
2027-01-16,5,0.0
2027-01-16,6,0.0
2027-01-16,7,0.04
2027-01-16,8,0.24
2027-01-16,9,1.15
2027-01-16,10,4.24
2027-01-16,11,12.0
2027-01-16,12,26.0
2027-01-16,13,43.15
2027-01-16,14,54.85
2027-01-16,15,53.41
2027-01-16,16,39.83
2027-01-16,17,22.75
2027-01-16,18,9.95
2027-01-16,19,3.34
2027-01-16,20,0.86
2027-01-16,21,0.17
2027-01-16,22,0.03
2027-01-16,23,0.0
2027-01-16,24,0.0
2027-01-17,1,0.0
2027-01-17,2,0.0
2027-01-17,3,0.0
2027-01-17,4,0.0
2027-01-17,5,0.0
2027-01-17,6,0.0
2027-01-17,7,0.03
2027-01-17,8,0.17
2027-01-17,9,0.83
2027-01-17,10,3.07
2027-01-17,11,8.7
2027-01-17,12,18.84
2027-01-17,13,31.27
2027-01-17,14,39.76
2027-01-17,15,38.71
2027-01-17,16,28.87
2027-01-17,17,16.49
2027-01-17,18,7.21
2027-01-17,19,2.42
2027-01-17,20,0.62
2027-01-17,21,0.12
2027-01-17,22,0.02
2027-01-17,23,0.0
2027-01-17,24,0.0
2027-01-18,1,0.0
2027-01-18,2,0.0
2027-01-18,3,0.0
2027-01-18,4,0.0
2027-01-18,5,0.0
2027-01-18,6,0.0
2027-01-18,7,0.03
2027-01-18,8,0.19
2027-01-18,9,0.92
2027-01-18,10,3.39
2027-01-18,11,9.6
2027-01-18,12,20.81
2027-01-18,13,34.53
2027-01-18,14,43.9
2027-01-18,15,42.74
2027-01-18,16,31.88
2027-01-18,17,18.21
2027-01-18,18,7.97
2027-01-18,19,2.67
2027-01-18,20,0.69
2027-01-18,21,0.13
2027-01-18,22,0.02
2027-01-18,23,0.0
2027-01-18,24,0.0
2027-01-19,1,0.0
2027-01-19,2,0.0
2027-01-19,3,0.0
2027-01-19,4,0.0
2027-01-19,5,0.0
2027-01-19,6,0.0
2027-01-19,7,0.04
2027-01-19,8,0.23
2027-01-19,9,1.12
2027-01-19,10,4.15
2027-01-19,11,11.73
2027-01-19,12,25.42
2027-01-19,13,42.19
2027-01-19,14,53.64
2027-01-19,15,52.23
2027-01-19,16,38.95
2027-01-19,17,22.25
2027-01-19,18,9.73
2027-01-19,19,3.26
2027-01-19,20,0.84
2027-01-19,21,0.16
2027-01-19,22,0.02
2027-01-19,23,0.0
2027-01-19,24,0.0
2027-01-20,1,0.0
2027-01-20,2,0.0
2027-01-20,3,0.0
2027-01-20,4,0.0
2027-01-20,5,0.0
2027-01-20,6,0.0
2027-01-20,7,0.02
2027-01-20,8,0.15
2027-01-20,9,0.7
2027-01-20,10,2.59
2027-01-20,11,7.34
2027-01-20,12,15.9
2027-01-20,13,26.38
2027-01-20,14,33.54
2027-01-20,15,32.66
2027-01-20,16,24.36
2027-01-20,17,13.91
2027-01-20,18,6.09
2027-01-20,19,2.04
2027-01-20,20,0.52
2027-01-20,21,0.1
2027-01-20,22,0.02
2027-01-20,23,0.0
2027-01-20,24,0.0
2027-01-21,1,0.0
2027-01-21,2,0.0
2027-01-21,3,0.0
2027-01-21,4,0.0
2027-01-21,5,0.0
2027-01-21,6,0.01
2027-01-21,7,0.04
2027-01-21,8,0.27
2027-01-21,9,1.3
2027-01-21,10,4.82
2027-01-21,11,13.64
2027-01-21,12,29.55
2027-01-21,13,49.04
2027-01-21,14,62.34
2027-01-21,15,60.7
2027-01-21,16,45.27
2027-01-21,17,25.86
2027-01-21,18,11.31
2027-01-21,19,3.79
2027-01-21,20,0.97
2027-01-21,21,0.19
2027-01-21,22,0.03
2027-01-21,23,0.0
2027-01-21,24,0.0
2027-01-22,1,0.0
2027-01-22,2,0.0
2027-01-22,3,0.0
2027-01-22,4,0.0
2027-01-22,5,0.0
2027-01-22,6,0.0
2027-01-22,7,0.02
2027-01-22,8,0.14
2027-01-22,9,0.68
2027-01-22,10,2.5
2027-01-22,11,7.06
2027-01-22,12,15.3
2027-01-22,13,25.4
2027-01-22,14,32.29
2027-01-22,15,31.44
2027-01-22,16,23.45
2027-01-22,17,13.39
2027-01-22,18,5.86
2027-01-22,19,1.96
2027-01-22,20,0.5
2027-01-22,21,0.1
2027-01-22,22,0.01
2027-01-22,23,0.0
2027-01-22,24,0.0
2027-01-23,1,0.0
2027-01-23,2,0.0
2027-01-23,3,0.0
2027-01-23,4,0.0
2027-01-23,5,0.0
2027-01-23,6,0.01
2027-01-23,7,0.04
2027-01-23,8,0.26
2027-01-23,9,1.25
2027-01-23,10,4.63
2027-01-23,11,13.1
2027-01-23,12,28.4
2027-01-23,13,47.13
2027-01-23,14,59.92
2027-01-23,15,58.34
2027-01-23,16,43.51
2027-01-23,17,24.85
2027-01-23,18,10.87
2027-01-23,19,3.64
2027-01-23,20,0.94
2027-01-23,21,0.18
2027-01-23,22,0.03
2027-01-23,23,0.0
2027-01-23,24,0.0
2027-01-24,1,0.0
2027-01-24,2,0.0
2027-01-24,3,0.0
2027-01-24,4,0.0
2027-01-24,5,0.0
2027-01-24,6,0.0
2027-01-24,7,0.03
2027-01-24,8,0.18
2027-01-24,9,0.89
2027-01-24,10,3.27
2027-01-24,11,9.26
2027-01-24,12,20.06
2027-01-24,13,33.29
2027-01-24,14,42.32
2027-01-24,15,41.21
2027-01-24,16,30.73
2027-01-24,17,17.56
2027-01-24,18,7.68
2027-01-24,19,2.57
2027-01-24,20,0.66
2027-01-24,21,0.13
2027-01-24,22,0.02
2027-01-24,23,0.0
2027-01-24,24,0.0
2027-01-25,1,0.0
2027-01-25,2,0.0
2027-01-25,3,0.0
2027-01-25,4,0.0
2027-01-25,5,0.0
2027-01-25,6,0.0
2027-01-25,7,0.03
2027-01-25,8,0.21
2027-01-25,9,1.01
2027-01-25,10,3.75
2027-01-25,11,10.6
2027-01-25,12,22.97
2027-01-25,13,38.12
2027-01-25,14,48.46
2027-01-25,15,47.19
2027-01-25,16,35.19
2027-01-25,17,20.1
2027-01-25,18,8.79
2027-01-25,19,2.95
2027-01-25,20,0.76
2027-01-25,21,0.15
2027-01-25,22,0.02
2027-01-25,23,0.0
2027-01-25,24,0.0
2027-01-26,1,0.0
2027-01-26,2,0.0
2027-01-26,3,0.0
2027-01-26,4,0.0
2027-01-26,5,0.0
2027-01-26,6,0.0
2027-01-26,7,0.04
2027-01-26,8,0.25
2027-01-26,9,1.2
2027-01-26,10,4.45
2027-01-26,11,12.59
2027-01-26,12,27.27
2027-01-26,13,45.27
2027-01-26,14,57.55
2027-01-26,15,56.03
2027-01-26,16,41.79
2027-01-26,17,23.87
2027-01-26,18,10.44
2027-01-26,19,3.5
2027-01-26,20,0.9
2027-01-26,21,0.18
2027-01-26,22,0.03
2027-01-26,23,0.0
2027-01-26,24,0.0
2027-01-27,1,0.0
2027-01-27,2,0.0
2027-01-27,3,0.0
2027-01-27,4,0.0
2027-01-27,5,0.0
2027-01-27,6,0.0
2027-01-27,7,0.03
2027-01-27,8,0.16
2027-01-27,9,0.77
2027-01-27,10,2.86
2027-01-27,11,8.09
2027-01-27,12,17.52
2027-01-27,13,29.09
2027-01-27,14,36.98
2027-01-27,15,36.0
2027-01-27,16,26.85
2027-01-27,17,15.34
2027-01-27,18,6.71
2027-01-27,19,2.25
2027-01-27,20,0.58
2027-01-27,21,0.11
2027-01-27,22,0.02
2027-01-27,23,0.0
2027-01-27,24,0.0
2027-01-28,1,0.0
2027-01-28,2,0.0
2027-01-28,3,0.0
2027-01-28,4,0.0
2027-01-28,5,0.0
2027-01-28,6,0.01
2027-01-28,7,0.05
2027-01-28,8,0.29
2027-01-28,9,1.42
2027-01-28,10,5.24
2027-01-28,11,14.81
2027-01-28,12,32.1
2027-01-28,13,53.28
2027-01-28,14,67.74
2027-01-28,15,65.95
2027-01-28,16,49.19
2027-01-28,17,28.1
2027-01-28,18,12.29
2027-01-28,19,4.12
2027-01-28,20,1.06
2027-01-28,21,0.21
2027-01-28,22,0.03
2027-01-28,23,0.0
2027-01-28,24,0.0
2027-01-29,1,0.0
2027-01-29,2,0.0
2027-01-29,3,0.0
2027-01-29,4,0.0
2027-01-29,5,0.0
2027-01-29,6,0.0
2027-01-29,7,0.02
2027-01-29,8,0.15
2027-01-29,9,0.73
2027-01-29,10,2.7
2027-01-29,11,7.65
2027-01-29,12,16.57
2027-01-29,13,27.51
2027-01-29,14,34.97
2027-01-29,15,34.05
2027-01-29,16,25.39
2027-01-29,17,14.5
2027-01-29,18,6.35
2027-01-29,19,2.13
2027-01-29,20,0.55
2027-01-29,21,0.11
2027-01-29,22,0.02
2027-01-29,23,0.0
2027-01-29,24,0.0
2027-01-30,1,0.0
2027-01-30,2,0.0
2027-01-30,3,0.0
2027-01-30,4,0.0
2027-01-30,5,0.0
2027-01-30,6,0.01
2027-01-30,7,0.05
2027-01-30,8,0.29
2027-01-30,9,1.38
2027-01-30,10,5.1
2027-01-30,11,14.42
2027-01-30,12,31.25
2027-01-30,13,51.87
2027-01-30,14,65.94
2027-01-30,15,64.21
2027-01-30,16,47.88
2027-01-30,17,27.35
2027-01-30,18,11.97
2027-01-30,19,4.01
2027-01-30,20,1.03
2027-01-30,21,0.2
2027-01-30,22,0.03
2027-01-30,23,0.0
2027-01-30,24,0.0
2027-01-31,1,0.0
2027-01-31,2,0.0
2027-01-31,3,0.0
2027-01-31,4,0.0
2027-01-31,5,0.0
2027-01-31,6,0.0
2027-01-31,7,0.03
2027-01-31,8,0.2
2027-01-31,9,0.95
2027-01-31,10,3.51
2027-01-31,11,9.93
2027-01-31,12,21.52
2027-01-31,13,35.71
2027-01-31,14,45.4
2027-01-31,15,44.21
2027-01-31,16,32.97
2027-01-31,17,18.83
2027-01-31,18,8.24
2027-01-31,19,2.76
2027-01-31,20,0.71
2027-01-31,21,0.14
2027-01-31,22,0.02
2027-01-31,23,0.0
2027-01-31,24,0.0
2027-02-01,1,0.0
2027-02-01,2,0.0
2027-02-01,3,0.0
2027-02-01,4,0.0
2027-02-01,5,0.0
2027-02-01,6,0.0
2027-02-01,7,0.04
2027-02-01,8,0.23
2027-02-01,9,1.13
2027-02-01,10,4.16
2027-02-01,11,11.78
2027-02-01,12,25.53
2027-02-01,13,42.37
2027-02-01,14,53.86
2027-02-01,15,52.45
2027-02-01,16,39.11
2027-02-01,17,22.34
2027-02-01,18,9.77
2027-02-01,19,3.28
2027-02-01,20,0.84
2027-02-01,21,0.17
2027-02-01,22,0.02
2027-02-01,23,0.0
2027-02-01,24,0.0
2027-02-02,1,0.0
2027-02-02,2,0.0
2027-02-02,3,0.0
2027-02-02,4,0.0
2027-02-02,5,0.0
2027-02-02,6,0.01
2027-02-02,7,0.04
2027-02-02,8,0.27
2027-02-02,9,1.3
2027-02-02,10,4.8
2027-02-02,11,13.59
2027-02-02,12,29.44
2027-02-02,13,48.86
2027-02-02,14,62.12
2027-02-02,15,60.48
2027-02-02,16,45.11
2027-02-02,17,25.76
2027-02-02,18,11.27
2027-02-02,19,3.78
2027-02-02,20,0.97
2027-02-02,21,0.19
2027-02-02,22,0.03
2027-02-02,23,0.0
2027-02-02,24,0.0
2027-02-03,1,0.0
2027-02-03,2,0.0
2027-02-03,3,0.0
2027-02-03,4,0.0
2027-02-03,5,0.0
2027-02-03,6,0.0
2027-02-03,7,0.03
2027-02-03,8,0.18
2027-02-03,9,0.86
2027-02-03,10,3.17
2027-02-03,11,8.98
2027-02-03,12,19.45
2027-02-03,13,32.28
2027-02-03,14,41.04
2027-02-03,15,39.96
2027-02-03,16,29.8
2027-02-03,17,17.02
2027-02-03,18,7.45
2027-02-03,19,2.5
2027-02-03,20,0.64
2027-02-03,21,0.13
2027-02-03,22,0.02
2027-02-03,23,0.0
2027-02-03,24,0.0
2027-02-04,1,0.0
2027-02-04,2,0.0
2027-02-04,3,0.0
2027-02-04,4,0.0
2027-02-04,5,0.0
2027-02-04,6,0.01
2027-02-04,7,0.05
2027-02-04,8,0.32
2027-02-04,9,1.55
2027-02-04,10,5.72
2027-02-04,11,16.18
2027-02-04,12,35.05
2027-02-04,13,58.18
2027-02-04,14,73.96
2027-02-04,15,72.01
2027-02-04,16,53.7
2027-02-04,17,30.68
2027-02-04,18,13.42
2027-02-04,19,4.5
2027-02-04,20,1.15
2027-02-04,21,0.23
2027-02-04,22,0.03
2027-02-04,23,0.0
2027-02-04,24,0.0
2027-02-05,1,0.0
2027-02-05,2,0.0
2027-02-05,3,0.0
2027-02-05,4,0.0
2027-02-05,5,0.0
2027-02-05,6,0.0
2027-02-05,7,0.03
2027-02-05,8,0.17
2027-02-05,9,0.8
2027-02-05,10,2.95
2027-02-05,11,8.33
2027-02-05,12,18.06
2027-02-05,13,29.98
2027-02-05,14,38.11
2027-02-05,15,37.1
2027-02-05,16,27.67
2027-02-05,17,15.81
2027-02-05,18,6.92
2027-02-05,19,2.32
2027-02-05,20,0.59
2027-02-05,21,0.12
2027-02-05,22,0.02
2027-02-05,23,0.0
2027-02-05,24,0.0
2027-02-06,1,0.0
2027-02-06,2,0.0
2027-02-06,3,0.0
2027-02-06,4,0.0
2027-02-06,5,0.0
2027-02-06,6,0.01
2027-02-06,7,0.05
2027-02-06,8,0.32
2027-02-06,9,1.52
2027-02-06,10,5.63
2027-02-06,11,15.94
2027-02-06,12,34.53
2027-02-06,13,57.32
2027-02-06,14,72.86
2027-02-06,15,70.95
2027-02-06,16,52.91
2027-02-06,17,30.22
2027-02-06,18,13.22
2027-02-06,19,4.43
2027-02-06,20,1.14
2027-02-06,21,0.22
2027-02-06,22,0.03
2027-02-06,23,0.0
2027-02-06,24,0.0
2027-02-07,1,0.0
2027-02-07,2,0.0
2027-02-07,3,0.0
2027-02-07,4,0.0
2027-02-07,5,0.0
2027-02-07,6,0.0
2027-02-07,7,0.03
2027-02-07,8,0.21
2027-02-07,9,1.02
2027-02-07,10,3.78
2027-02-07,11,10.7
2027-02-07,12,23.18
2027-02-07,13,38.48
2027-02-07,14,48.91
2027-02-07,15,47.62
2027-02-07,16,35.52
2027-02-07,17,20.29
2027-02-07,18,8.88
2027-02-07,19,2.97
2027-02-07,20,0.76
2027-02-07,21,0.15
2027-02-07,22,0.02
2027-02-07,23,0.0
2027-02-07,24,0.0
2027-02-08,1,0.0
2027-02-08,2,0.0
2027-02-08,3,0.0
2027-02-08,4,0.0
2027-02-08,5,0.0
2027-02-08,6,0.01
2027-02-08,7,0.04
2027-02-08,8,0.26
2027-02-08,9,1.26
2027-02-08,10,4.64
2027-02-08,11,13.14
2027-02-08,12,28.47
2027-02-08,13,47.25
2027-02-08,14,60.07
2027-02-08,15,58.49
2027-02-08,16,43.62
2027-02-08,17,24.92
2027-02-08,18,10.9
2027-02-08,19,3.65
2027-02-08,20,0.94
2027-02-08,21,0.18
2027-02-08,22,0.03
2027-02-08,23,0.0
2027-02-08,24,0.0
2027-02-09,1,0.0
2027-02-09,2,0.0
2027-02-09,3,0.0
2027-02-09,4,0.0
2027-02-09,5,0.0
2027-02-09,6,0.01
2027-02-09,7,0.05
2027-02-09,8,0.29
2027-02-09,9,1.41
2027-02-09,10,5.2
2027-02-09,11,14.7
2027-02-09,12,31.86
2027-02-09,13,52.88
2027-02-09,14,67.23
2027-02-09,15,65.46
2027-02-09,16,48.82
2027-02-09,17,27.89
2027-02-09,18,12.2
2027-02-09,19,4.09
2027-02-09,20,1.05
2027-02-09,21,0.21
2027-02-09,22,0.03
2027-02-09,23,0.0
2027-02-09,24,0.0
2027-02-10,1,0.0
2027-02-10,2,0.0
2027-02-10,3,0.0
2027-02-10,4,0.0
2027-02-10,5,0.0
2027-02-10,6,0.0
2027-02-10,7,0.03
2027-02-10,8,0.2
2027-02-10,9,0.96
2027-02-10,10,3.53
2027-02-10,11,10.0
2027-02-10,12,21.66
2027-02-10,13,35.95
2027-02-10,14,45.71
2027-02-10,15,44.5
2027-02-10,16,33.19
2027-02-10,17,18.96
2027-02-10,18,8.29
2027-02-10,19,2.78
2027-02-10,20,0.71
2027-02-10,21,0.14
2027-02-10,22,0.02
2027-02-10,23,0.0
2027-02-10,24,0.0
2027-02-11,1,0.0
2027-02-11,2,0.0
2027-02-11,3,0.0
2027-02-11,4,0.0
2027-02-11,5,0.0
2027-02-11,6,0.01
2027-02-11,7,0.06
2027-02-11,8,0.35
2027-02-11,9,1.69
2027-02-11,10,6.25
2027-02-11,11,17.69
2027-02-11,12,38.34
2027-02-11,13,63.63
2027-02-11,14,80.89
2027-02-11,15,78.76
2027-02-11,16,58.74
2027-02-11,17,33.55
2027-02-11,18,14.68
2027-02-11,19,4.92
2027-02-11,20,1.26
2027-02-11,21,0.25
2027-02-11,22,0.04
2027-02-11,23,0.0
2027-02-11,24,0.0
2027-02-12,1,0.0
2027-02-12,2,0.0
2027-02-12,3,0.0
2027-02-12,4,0.0
2027-02-12,5,0.0
2027-02-12,6,0.0
2027-02-12,7,0.03
2027-02-12,8,0.18
2027-02-12,9,0.87
2027-02-12,10,3.22
2027-02-12,11,9.11
2027-02-12,12,19.75
2027-02-12,13,32.77
2027-02-12,14,41.66
2027-02-12,15,40.56
2027-02-12,16,30.25
2027-02-12,17,17.28
2027-02-12,18,7.56
2027-02-12,19,2.53
2027-02-12,20,0.65
2027-02-12,21,0.13
2027-02-12,22,0.02
2027-02-12,23,0.0
2027-02-12,24,0.0
2027-02-13,1,0.0
2027-02-13,2,0.0
2027-02-13,3,0.0
2027-02-13,4,0.0
2027-02-13,5,0.0
2027-02-13,6,0.01
2027-02-13,7,0.06
2027-02-13,8,0.35
2027-02-13,9,1.69
2027-02-13,10,6.23
2027-02-13,11,17.63
2027-02-13,12,38.2
2027-02-13,13,63.4
2027-02-13,14,80.59
2027-02-13,15,78.47
2027-02-13,16,58.52
2027-02-13,17,33.43
2027-02-13,18,14.63
2027-02-13,19,4.9
2027-02-13,20,1.26
2027-02-13,21,0.25
2027-02-13,22,0.04
2027-02-13,23,0.0
2027-02-13,24,0.0
2027-02-14,1,0.0
2027-02-14,2,0.0
2027-02-14,3,0.0
2027-02-14,4,0.0
2027-02-14,5,0.0
2027-02-14,6,0.0
2027-02-14,7,0.04
2027-02-14,8,0.23
2027-02-14,9,1.1
2027-02-14,10,4.08
2027-02-14,11,11.54
2027-02-14,12,25.01
2027-02-14,13,41.51
2027-02-14,14,52.77
2027-02-14,15,51.38
2027-02-14,16,38.32
2027-02-14,17,21.89
2027-02-14,18,9.58
